"収支","日付","金額","項目名","内訳名","備考"
"支出","16-07-01","￥220","食費","--------",""
"支出","16-07-01","￥430","食費","朝昼",""
"支出","16-07-01","￥210","食費","--------",""
"支出","16-07-01","￥662","二輪","--------","時計"
"支出","16-07-01","￥3,000","交際費","--------","飲み会"
"支出","16-07-02","￥4,450","交際費","--------","寿司"
"支出","16-07-02","￥2,000","生活","衣類",""
"支出","16-07-04","￥141","食費","--------",""
"支出","16-07-04","￥430","食費","朝昼",""
"支出","16-07-04","￥100","食費","--------",""
"支出","16-07-05","￥173","食費","--------",""
"支出","16-07-05","￥520","食費","朝昼",""
"支出","16-07-05","￥108","食費","--------",""
"支出","16-07-06","￥170","食費","--------",""
"支出","16-07-06","￥345","食費","朝昼",""
"支出","16-07-06","￥391","食費","--------",""
"支出","16-07-07","￥220","食費","--------",""
"支出","16-07-07","￥430","食費","朝昼",""
"支出","16-07-07","￥210","食費","--------",""
"支出","16-07-08","￥3,000","仕事","--------","朝倉お祝い"
"支出","16-07-08","￥130","食費","--------",""
"支出","16-07-08","￥210","食費","--------",""
"支出","16-07-08","￥430","食費","朝昼",""
"支出","16-07-10","￥2,500","交際費","--------","ピザ"
"支出","16-07-11","￥220","食費","--------",""
"支出","16-07-11","￥430","食費","朝昼",""
"支出","16-07-12","￥350","食費","朝昼",""
"支出","16-07-12","￥300","食費","--------",""
"支出","16-07-13","￥220","食費","--------",""
"支出","16-07-13","￥220","食費","朝昼",""
"支出","16-07-14","￥220","食費","--------",""
"支出","16-07-14","￥400","二輪","--------","ウィンカーリレー"
"支出","16-07-14","￥230","食費","--------",""
"支出","16-07-14","￥430","食費","朝昼",""
"支出","16-07-15","￥110","食費","--------",""
"支出","16-07-15","￥430","食費","朝昼",""
"支出","16-07-17","￥5,700","交際費","--------","焼き肉"
"支出","16-07-17","￥2,500","二輪","--------","カプラー、キャブリペアキット"
"支出","16-07-18","￥1,100","二輪","--------","ネジ、ステー"
"支出","16-07-18","￥1,400","生活","--------","パン、ポンズ、コンソメ"
"支出","16-07-19","￥210","食費","--------",""
"支出","16-07-19","￥430","食費","朝昼",""
"支出","16-07-20","￥430","食費","朝昼",""
"支出","16-07-20","￥210","食費","--------",""
"支出","16-07-20","￥210","食費","--------",""
"支出","16-07-20","￥1,350","二輪","--------","インジケーター"
"支出","16-07-21","￥400","食費","--------",""
"支出","16-07-21","￥160","食費","--------",""
"支出","16-07-21","￥430","食費","朝昼",""
"支出","16-07-22","￥208","食費","--------",""
"支出","16-07-22","￥430","食費","朝昼",""
"支出","16-07-22","￥230","食費","--------",""
"支出","16-07-25","￥580","食費","朝昼",""
"支出","16-07-25","￥100","食費","--------",""
"支出","16-07-25","￥119","食費","--------",""
"支出","16-07-27","￥420","食費","--------",""
"支出","16-07-27","￥610","食費","晩",""
"支出","16-07-27","￥1,000","通信費","--------","sim"
"支出","16-07-27","￥1,000","趣味","--------","hulu"
"支出","16-07-27","￥400","趣味","--------","yahoo"
"支出","16-07-27","￥1,300","通信費","--------","au"
"支出","16-07-27","￥7,500","仕事","--------","ホテル"
"支出","16-07-27","￥430","食費","朝昼",""
"支出","16-07-27","￥240","食費","--------",""
"支出","16-07-27","￥240","食費","--------",""
"支出","16-07-28","￥330","食費","--------",""
"支出","16-07-28","￥100","食費","--------",""
"支出","16-07-28","￥430","食費","朝昼",""
"支出","16-07-29","￥240","食費","--------",""
"支出","16-07-29","￥430","食費","朝昼",""
"支出","16-07-29","￥130","食費","--------",""
"支出","16-07-30","￥2,200","交際費","--------","石山商店街夜市"
"支出","16-07-31","￥813","二輪","--------","整流ダイオード、圧縮チューブ"
