"収支","日付","金額","項目名","内訳名","備考"
"支出","16-06-01","￥208","食費","--------",""
"支出","16-06-01","￥430","食費","朝昼",""
"支出","16-06-01","￥300","食費","--------",""
"支出","16-06-03","￥208","食費","--------",""
"支出","16-06-03","￥420","生活","たばこ",""
"支出","16-06-03","￥100","食費","--------",""
"支出","16-06-03","￥420","食費","朝昼",""
"支出","16-06-04","￥800","山・岩","--------","こんぴら"
"支出","16-06-05","￥660","交際費","--------","フォレオで昼食"
"支出","16-06-06","￥259","食費","--------",""
"支出","16-06-06","￥330","食費","朝昼",""
"支出","16-06-07","￥500","生活","--------","食材"
"支出","16-06-08","￥172","食費","--------",""
"支出","16-06-08","￥410","生活","たばこ",""
"支出","16-06-08","￥380","食費","朝昼",""
"支出","16-06-09","￥208","食費","--------",""
"支出","16-06-09","￥220","食費","--------",""
"支出","16-06-09","￥380","食費","朝昼",""
"支出","16-06-10","￥220","食費","--------",""
"支出","16-06-10","￥510","食費","朝昼",""
"支出","16-06-10","￥1,000","交際費","--------","マネケン"
"支出","16-06-11","￥1,400","交際費","--------","三室戸寺"
"支出","16-06-13","￥510","食費","朝昼",""
"支出","16-06-13","￥230","食費","--------",""
"支出","16-06-14","￥240","食費","--------",""
"支出","16-06-14","￥501","食費","朝昼",""
"支出","16-06-15","￥500","食費","朝昼",""
"支出","16-06-16","￥430","食費","朝昼",""
"支出","16-06-16","￥310","食費","--------",""
"支出","16-06-16","￥123","食費","--------",""
"支出","16-06-18","￥1,300","山・岩","--------","焼き肉カップ"
"支出","16-06-18","￥1,000","二輪","--------","ガソリン"
"支出","16-06-20","￥4,444","二輪","--------","スイッチボックス、パワーフィルター、純正ネジ"
"支出","16-06-20","￥400","食費","朝昼",""
"支出","16-06-21","￥208","食費","--------",""
"支出","16-06-21","￥345","食費","朝昼",""
"支出","16-06-21","￥420","生活","たばこ",""
"支出","16-06-22","￥208","食費","--------",""
"支出","16-06-22","￥500","食費","朝昼",""
"支出","16-06-22","￥100","食費","--------",""
"支出","16-06-23","￥208","食費","--------",""
"支出","16-06-23","￥220","食費","--------",""
"支出","16-06-23","￥400","食費","朝昼",""
"支出","16-06-24","￥450","食費","朝昼",""
"支出","16-06-24","￥100","食費","--------",""
"支出","16-06-24","￥120","食費","--------",""
"支出","16-06-24","￥370","食費","--------",""
"支出","16-06-25","￥2,000","交際費","--------","ラーメン"
"支出","16-06-25","￥500","山・岩","--------","ギア講習会"
"支出","16-06-25","￥10,000","二輪","--------","工具　ラチェット、ラジオペンチ"
"支出","16-06-26","￥2,300","趣味","PC","マウス"
"支出","16-06-27","￥1,000","通信費","--------","sim"
"支出","16-06-27","￥1,000","趣味","--------","hulu"
"支出","16-06-27","￥400","趣味","--------","yahoo"
"支出","16-06-27","￥1,300","通信費","--------","au"
"支出","16-06-27","￥400","食費","朝昼",""
"支出","16-06-27","￥100","食費","--------",""
"支出","16-06-28","￥470","食費","--------",""
"支出","16-06-28","￥220","食費","--------",""
"支出","16-06-28","￥450","食費","朝昼",""
"支出","16-06-28","￥220","食費","--------",""
"支出","16-06-29","￥300","食費","朝昼",""
"支出","16-06-29","￥270","食費","--------",""
"支出","16-06-29","￥460","食費","晩",""
"支出","16-06-30","￥2,200","二輪","--------","リアフェンダー"
"支出","16-06-30","￥400","二輪","--------","本"
"支出","16-06-30","￥610","二輪","--------","ハーネス"
"支出","16-06-30","￥1,740","二輪","--------","電装プレート"
"支出","16-06-30","￥400","食費","朝昼",""
"支出","16-06-30","￥230","食費","--------",""
"支出","16-06-30","￥200","食費","--------",""
