"収支","日付","金額","項目名","内訳名","備考"
"支出","17-01-01","￥2,800","交際費","--------","初詣、お守り"
"支出","17-01-02","￥2,000","交際費","--------","来来亭"
"支出","17-01-04","￥580","二輪","--------","ガソリフィルター"
"支出","17-01-04","￥5,000","趣味","--------","レポートパッド、ボールペン芯、万年筆、ダンボール用カッター"
"支出","17-01-04","￥460","食費","朝昼",""
"支出","17-01-04","￥100","食費","--------",""
"支出","17-01-05","￥460","食費","朝昼",""
"支出","17-01-06","￥500","食費","朝昼",""
"支出","17-01-06","￥420","生活","たばこ",""
"支出","17-01-06","￥100","食費","--------",""
"支出","17-01-07","￥1,200","交際費","--------","動物園"
"支出","17-01-08","￥1,555","二輪","道具","グリス、板ラチェット"
"支出","17-01-08","￥8,500","交際費","--------","千遥プレゼントパジャマ"
"支出","17-01-08","￥2,700","生活","--------","灯油"
"支出","17-01-09","￥2,700","生活","--------","灯油"
"支出","17-01-09","￥1,000","二輪","--------","ガソリン"
"支出","17-01-10","￥460","食費","朝昼",""
"支出","17-01-10","￥100","食費","--------",""
"支出","17-01-11","￥400","食費","朝昼",""
"支出","17-01-12","￥390","食費","朝昼",""
"支出","17-01-12","￥208","食費","--------",""
"支出","17-01-13","￥230","食費","朝昼",""
"支出","17-01-13","￥300","食費","--------",""
"支出","17-01-13","￥420","生活","たばこ",""
"支出","17-01-15","￥900","生活","--------","歯磨き、ティッシュ"
"支出","17-01-15","￥600","二輪","--------","ネジなど"
"支出","17-01-16","￥430","食費","朝昼",""
"支出","17-01-16","￥100","食費","--------",""
"支出","17-01-17","￥130","食費","--------",""
"支出","17-01-17","￥2,334","二輪","--------","オフセットサイザル"
"支出","17-01-18","￥3,400","本","--------","JAVA EE
"
"支出","17-01-18","￥220","食費","朝昼",""
"支出","17-01-18","￥100","食費","--------",""
"支出","17-01-18","￥420","生活","たばこ",""
"支出","17-01-19","￥330","食費","朝昼",""
"支出","17-01-19","￥208","食費","--------",""
"支出","17-01-20","￥400","食費","朝昼",""
"支出","17-01-22","￥940","交際費","--------","うどん"
"支出","17-01-22","￥130","食費","--------",""
"支出","17-01-23","￥280","食費","朝昼",""
"支出","17-01-23","￥350","食費","--------",""
"支出","17-01-24","￥240","食費","朝昼",""
"支出","17-01-24","￥100","食費","--------",""
"支出","17-01-25","￥200","食費","--------",""
"支出","17-01-25","￥430","食費","朝昼",""
"支出","17-01-25","￥324","仕事","--------","付箋"
"支出","17-01-25","￥208","二輪","--------","タイラップ"
"支出","17-01-26","￥490","食費","朝昼",""
"支出","17-01-26","￥140","食費","--------",""
"支出","17-01-26","￥100","食費","--------",""
"支出","17-01-27","￥1,500","通信費","--------","sim"
"支出","17-01-27","￥1,000","趣味","--------","hulu"
"支出","17-01-27","￥400","趣味","--------","yahoo"
"支出","17-01-27","￥250","食費","朝昼",""
"支出","17-01-27","￥420","生活","たばこ",""
"支出","17-01-27","￥1,500","交際費","--------","ケーキ"
"支出","17-01-28","￥800","生活","--------","子供の食事"
"支出","17-01-29","￥700","二輪","--------","ネジ、半田針金など"
"支出","17-01-30","￥260","食費","朝昼",""
"支出","17-01-30","￥220","食費","--------",""
"支出","17-01-31","￥330","趣味","--------","Amazonプライム"
"支出","17-01-31","￥160","食費","朝昼",""
"支出","17-01-31","￥240","食費","--------",""
"支出","17-01-31","￥420","生活","たばこ",""
