"収支","日付","金額","項目名","内訳名","備考"
"支出","16-12-01","￥700","食費","朝昼",""
"支出","16-12-01","￥100","食費","--------",""
"支出","16-12-02","￥5,000","交際費","--------","会社飲み会"
"支出","16-12-02","￥420","生活","たばこ",""
"支出","16-12-02","￥390","食費","朝昼",""
"支出","16-12-03","￥540","生活","--------","100均"
"支出","16-12-03","￥480","食費","朝昼",""
"支出","16-12-05","￥390","食費","朝昼",""
"支出","16-12-06","￥460","食費","朝昼",""
"支出","16-12-06","￥510","食費","--------",""
"支出","16-12-06","￥230","趣味","--------","のり"
"支出","16-12-06","￥1,000","仕事","--------","証明写真"
"支出","16-12-07","￥430","食費","朝昼",""
"支出","16-12-08","￥400","食費","朝昼",""
"支出","16-12-08","￥420","生活","たばこ",""
"支出","16-12-09","￥430","食費","朝昼",""
"支出","16-12-09","￥100","食費","--------",""
"支出","16-12-10","￥540","生活","たばこ",""
"支出","16-12-10","￥400","食費","--------",""
"支出","16-12-12","￥320","食費","朝昼",""
"支出","16-12-12","￥100","食費","--------",""
"支出","16-12-12","￥1,000","仕事","--------","転職"
"支出","16-12-13","￥390","食費","朝昼",""
"支出","16-12-13","￥130","食費","--------",""
"支出","16-12-14","￥460","食費","朝昼",""
"支出","16-12-15","￥580","食費","朝昼",""
"支出","16-12-15","￥100","食費","--------",""
"支出","16-12-16","￥390","食費","朝昼",""
"支出","16-12-16","￥200","食費","--------",""
"支出","16-12-18","￥421","食費","--------",""
"支出","16-12-19","￥420","生活","たばこ",""
"支出","16-12-19","￥113","食費","--------",""
"支出","16-12-19","￥430","食費","朝昼",""
"支出","16-12-20","￥430","食費","朝昼",""
"支出","16-12-20","￥100","食費","--------",""
"支出","16-12-21","￥160","食費","--------",""
"支出","16-12-21","￥480","食費","朝昼",""
"支出","16-12-22","￥439","食費","朝昼",""
"支出","16-12-22","￥130","食費","--------",""
"支出","16-12-23","￥150","食費","--------",""
"支出","16-12-23","￥270","食費","--------",""
"支出","16-12-23","￥800","趣味","文具","カレンダー"
"支出","16-12-23","￥200","交際費","--------","アンパンマンガチャガチャ"
"支出","16-12-25","￥3,100","二輪","--------","スプリング、廃油処理、ガスケット"
"支出","16-12-25","￥2,000","生活","--------","プリンターインク"
"支出","16-12-26","￥400","食費","朝昼",""
"支出","16-12-26","￥250","食費","--------",""
"支出","16-12-27","￥4,000","通信費","--------","sim"
"支出","16-12-27","￥1,000","趣味","--------","hulu"
"支出","16-12-27","￥400","趣味","--------","yahoo"
"支出","16-12-27","￥1,300","通信費","--------","au"
"支出","16-12-27","￥2,800","本","--------","すっきりわかるjava"
"支出","16-12-27","￥420","生活","たばこ",""
"支出","16-12-27","￥360","食費","朝昼",""
"支出","16-12-28","￥480","食費","朝昼",""
"支出","16-12-29","￥300","食費","--------",""
"支出","16-12-30","￥200","二輪","--------","スプレーグリス"
"支出","16-12-31","￥330","趣味","--------","Amazonプライム"
"支出","16-12-31","￥1,800","交際費","--------","お父様への"
