"収支","日付","金額","項目名","内訳名","備考"
"支出","16-10-03","￥290","食費","--------",""
"支出","16-10-03","￥271","食費","朝昼",""
"支出","16-10-04","￥100","食費","--------",""
"支出","16-10-04","￥490","食費","朝昼",""
"支出","16-10-05","￥100","食費","--------",""
"支出","16-10-05","￥390","食費","朝昼",""
"支出","16-10-06","￥390","食費","朝昼",""
"支出","16-10-06","￥100","食費","--------",""
"支出","16-10-06","￥420","生活","たばこ",""
"支出","16-10-07","￥100","食費","--------",""
"支出","16-10-07","￥110","食費","--------",""
"支出","16-10-07","￥390","食費","朝昼",""
"支出","16-10-07","￥560","食費","--------",""
"支出","16-10-07","￥1,113","趣味","文具","ケリー"
"支出","16-10-08","￥110","食費","--------",""
"支出","16-10-10","￥216","食費","--------",""
"支出","16-10-11","￥390","食費","朝昼",""
"支出","16-10-11","￥420","生活","たばこ",""
"支出","16-10-12","￥540","食費","朝昼",""
"支出","16-10-12","￥108","生活","--------","ライター"
"支出","16-10-12","￥110","食費","--------",""
"支出","16-10-13","￥390","食費","朝昼",""
"支出","16-10-14","￥700","食費","--------",""
"支出","16-10-14","￥580","食費","朝昼",""
"支出","16-10-16","￥500","生活","--------","食材"
"支出","16-10-17","￥537","食費","朝昼",""
"支出","16-10-17","￥420","生活","たばこ",""
"支出","16-10-17","￥129","食費","--------",""
"支出","16-10-19","￥400","生活","--------","食費"
"支出","16-10-19","￥100","食費","--------",""
"支出","16-10-20","￥510","食費","朝昼",""
"支出","16-10-20","￥100","食費","--------",""
"支出","16-10-21","￥430","食費","朝昼",""
"支出","16-10-21","￥450","生活","たばこ",""
"支出","16-10-22","￥700","食費","その他",""
"支出","16-10-27","￥1,000","通信費","--------","sim"
"支出","16-10-27","￥1,000","趣味","--------","hulu"
"支出","16-10-27","￥400","趣味","--------","yahoo"
"支出","16-10-27","￥1,300","通信費","--------","au"
"支出","16-10-28","￥430","食費","朝昼",""
"支出","16-10-28","￥140","食費","--------",""
"支出","16-10-28","￥71,600","家","--------","エアコン"
"支出","16-10-29","￥1,880","生活","--------","米"
"支出","16-10-29","￥1,450","本","--------","幸せになる勇気、冰柱テクニック"
"支出","16-10-29","￥3,800","山・岩","--------","メッシュシャツ"
"支出","16-10-31","￥100","食費","--------",""
"支出","16-10-31","￥420","生活","たばこ",""
"支出","16-10-31","￥540","食費","朝昼",""
