"収支","日付","金額","項目名","内訳名","備考"
"支出","17-03-01","￥110","食費","--------",""
"支出","17-03-01","￥580","食費","朝昼",""
"支出","17-03-01","￥100","食費","--------",""
"支出","17-03-02","￥220","食費","--------",""
"支出","17-03-02","￥100","食費","--------",""
"支出","17-03-02","￥200","食費","朝昼",""
"支出","17-03-02","￥420","生活","たばこ",""
"支出","17-03-03","￥750","食費","朝昼",""
"支出","17-03-03","￥388","食費","--------",""
"支出","17-03-05","￥1,000","二輪","ガソリン",""
"支出","17-03-05","￥100","食費","--------",""
"支出","17-03-06","￥500","二輪","--------","リフレクター"
"支出","17-03-06","￥230","食費","朝昼",""
"支出","17-03-06","￥100","食費","--------",""
"支出","17-03-06","￥100","食費","--------",""
"支出","17-03-07","￥400","食費","朝昼",""
"支出","17-03-07","￥420","生活","たばこ",""
"支出","17-03-07","￥150","食費","--------",""
"支出","17-03-08","￥555","食費","--------",""
"支出","17-03-08","￥100","生活","たばこ",""
"支出","17-03-08","￥22,300","二輪","--------","車検"
"支出","17-03-08","￥300","二輪","ガソリン",""
"支出","17-03-08","￥6,700","二輪","--------","花咲G、キャブリペアパーツ、ネジザウルス"
"支出","17-03-08","￥600","二輪","--------","ヒューズ、リフレクター"
"支出","17-03-09","￥250","食費","--------",""
"支出","17-03-09","￥260","食費","--------",""
"支出","17-03-09","￥250","食費","--------",""
"支出","17-03-09","￥160","食費","朝昼",""
"支出","17-03-10","￥420","生活","たばこ",""
"支出","17-03-10","￥300","食費","朝昼",""
"支出","17-03-10","￥100","食費","--------",""
"支出","17-03-10","￥140","食費","--------",""
"支出","17-03-10","￥120","食費","--------",""
"支出","17-03-13","￥100","食費","--------",""
"支出","17-03-13","￥200","食費","--------",""
"支出","17-03-14","￥8,000","生活","--------","車のバッテリー"
"支出","17-03-14","￥208","食費","--------",""
"支出","17-03-14","￥270","食費","朝昼",""
"支出","17-03-14","￥100","食費","--------",""
"支出","17-03-15","￥5,500","医療","--------","大腸検査"
"支出","17-03-15","￥1,000","交際費","--------","マクドナルド"
"支出","17-03-15","￥5,250","医療","--------","大腸検査"
"支出","17-03-16","￥150","食費","--------",""
"支出","17-03-16","￥320","食費","朝昼",""
"支出","17-03-16","￥420","生活","たばこ",""
"支出","17-03-16","￥1,230","交際費","--------","ホワイトデー"
"支出","17-03-17","￥380","食費","朝昼",""
"支出","17-03-17","￥300","生活","--------","ラップテープ"
"支出","17-03-17","￥100","食費","--------",""
"支出","17-03-17","￥1,100","交際費","--------","モーターサイクルショー"
"支出","17-03-17","￥100","食費","--------",""
"支出","17-03-17","￥1,000","交際費","--------","送別会"
"支出","17-03-18","￥680","交際費","--------","立木さん"
"支出","17-03-19","￥5,360","二輪","--------","モーターサイクルショー"
"支出","17-03-19","￥420","生活","たばこ",""
"支出","17-03-20","￥2,280","山・岩","ジム",""
"支出","17-03-21","￥400","食費","朝昼",""
"支出","17-03-21","￥100","食費","--------",""
"支出","17-03-21","￥108","食費","--------",""
"支出","17-03-23","￥250","食費","--------",""
"支出","17-03-23","￥240","食費","朝昼",""
"支出","17-03-24","￥400","食費","朝昼",""
"支出","17-03-24","￥100","食費","--------",""
"支出","17-03-24","￥1,000","仕事","--------","ベルト"
"支出","17-03-25","￥15,700","仕事","--------","ショーンハイト靴"
"支出","17-03-26","￥2,260","山・岩","ジム",""
"支出","17-03-27","￥2,500","通信費","--------","sim"
"支出","17-03-27","￥1,000","趣味","--------","hulu"
"支出","17-03-27","￥400","趣味","--------","yahoo"
"支出","17-03-27","￥220","食費","朝昼",""
"支出","17-03-28","￥580","食費","朝昼",""
"支出","17-03-29","￥840","食費","--------","夕食"
"支出","17-03-29","￥250","食費","--------",""
"支出","17-03-29","￥770","食費","朝昼",""
"支出","17-03-29","￥2,200","仕事","--------","シューキーパー"
"支出","17-03-29","￥1,000","生活","--------","靴べら、消臭スプレー"
"支出","17-03-29","￥2,300","生活","--------","プロテイン"
"支出","17-03-30","￥730","食費","朝昼",""
"支出","17-03-30","￥230","食費","--------",""
"支出","17-03-30","￥420","生活","たばこ",""
"支出","17-03-31","￥330","趣味","--------","Amazonプライム"
"支出","17-03-31","￥1,000","趣味","--------","AmazonUnlimited"
"支出","17-03-31","￥280","食費","朝昼",""
"支出","17-03-31","￥420","生活","たばこ",""
