"収支","日付","金額","項目名","内訳名","備考"
"支出","15-09-01","￥2,000","仕事","交通費",""
"支出","15-09-01","￥100","食費","--------",""
"支出","15-09-01","￥100","食費","--------",""
"支出","15-09-01","￥430","食費","朝昼",""
"支出","15-09-01","￥120","食費","--------",""
"支出","15-09-02","￥420","生活","たばこ",""
"支出","15-09-02","￥100","食費","--------",""
"支出","15-09-02","￥490","食費","朝昼",""
"支出","15-09-02","￥3,500","交際費","--------","エルだー打ち上げ"
"支出","15-09-03","￥560","食費","--------",""
"支出","15-09-03","￥450","食費","朝昼",""
"支出","15-09-03","￥130","食費","--------",""
"支出","15-09-03","￥324","食費","--------",""
"支出","15-09-04","￥100","食費","--------",""
"支出","15-09-04","￥340","食費","朝昼",""
"支出","15-09-04","￥430","生活","たばこ",""
"支出","15-09-04","￥113","食費","--------",""
"支出","15-09-05","￥1,000","二輪","ガソリン",""
"支出","15-09-05","￥411","山・岩","--------","北小松"
"支出","15-09-05","￥4,200","交際費","--------","焼き肉"
"支出","15-09-07","￥200","食費","--------",""
"支出","15-09-07","￥400","食費","朝昼",""
"支出","15-09-08","￥391","食費","--------",""
"支出","15-09-08","￥402","食費","朝昼",""
"支出","15-09-08","￥200","食費","--------",""
"支出","15-09-09","￥361","食費","--------",""
"支出","15-09-09","￥490","食費","朝昼",""
"支出","15-09-10","￥200","食費","--------",""
"支出","15-09-10","￥430","食費","朝昼",""
"支出","15-09-10","￥270","山・岩","ジム",""
"支出","15-09-10","￥340","仕事","交通費",""
"支出","15-09-11","￥546","食費","晩",""
"支出","15-09-11","￥200","食費","--------",""
"支出","15-09-11","￥400","食費","朝昼",""
"支出","15-09-11","￥357","食費","--------",""
"支出","15-09-11","￥440","仕事","交通費",""
"支出","15-09-12","￥3,400","山・岩","--------","瑞浪"
"支出","15-09-14","￥200","食費","--------",""
"支出","15-09-14","￥340","食費","朝昼",""
"支出","15-09-14","￥12,000","山・岩","道具","ヌンチャク"
"支出","15-09-14","￥100","食費","--------",""
"支出","15-09-14","￥440","仕事","交通費",""
"支出","15-09-15","￥200","食費","--------",""
"支出","15-09-15","￥420","生活","たばこ",""
"支出","15-09-15","￥430","食費","朝昼",""
"支出","15-09-15","￥2,000","仕事","交通費",""
"支出","15-09-15","￥220","仕事","交通費",""
"支出","15-09-16","￥700","食費","朝昼",""
"支出","15-09-16","￥200","食費","--------",""
"支出","15-09-17","￥100","食費","--------",""
"支出","15-09-17","￥390","食費","朝昼",""
"支出","15-09-17","￥100","食費","--------",""
"支出","15-09-18","￥23,333","仕事","交通費",""
"支出","15-09-18","￥2,300","交際費","--------","岡本さん"
"支出","15-09-18","￥200","食費","--------",""
"支出","15-09-18","￥490","食費","朝昼",""
"支出","15-09-18","￥1,200","山・岩","ジム",""
"支出","15-09-20","￥3,000","山・岩","--------","烏帽子"
"支出","15-09-22","￥23,000","山・岩","--------","明星"
"支出","15-09-23","￥2,000","交際費","--------","喫茶店"
"支出","15-09-24","￥200","食費","--------",""
"支出","15-09-24","￥560","食費","朝昼",""
"支出","15-09-27","￥1,000","通信費","--------","sim"
"支出","15-09-27","￥1,000","趣味","--------","hulu"
"支出","15-09-27","￥400","趣味","--------","yahoo"
"支出","15-09-27","￥1,300","通信費","--------","au"
"支出","15-09-27","￥3,000","交際費","--------","神戸モザイク"
"支出","15-09-28","￥340","仕事","交通費",""
"支出","15-09-28","￥370","食費","--------",""
"支出","15-09-28","￥390","食費","朝昼",""
"支出","15-09-29","￥370","食費","--------",""
"支出","15-09-29","￥390","食費","朝昼",""
"支出","15-09-29","￥440","仕事","交通費",""
"支出","15-09-29","￥250","食費","--------",""
"支出","15-09-30","￥2,000","仕事","交通費",""
"支出","15-09-30","￥370","山・岩","ジム",""
"支出","15-09-30","￥430","食費","朝昼",""
"支出","15-09-30","￥1,030","食費","--------","コーヒーチケット"
