"収支","日付","金額","項目名","内訳名","備考"
"支出","16-09-01","￥2,500","本","--------","子供のための本、動物農場"
"支出","16-09-01","￥500","食費","朝昼",""
"支出","16-09-01","￥150","食費","--------",""
"支出","16-09-02","￥500","食費","朝昼",""
"支出","16-09-02","￥250","食費","--------",""
"支出","16-09-03","￥258","食費","--------",""
"支出","16-09-03","￥498","食費","朝昼",""
"支出","16-09-03","￥100","食費","--------",""
"支出","16-09-04","￥2,700","生活","--------","銅マグカップ"
"支出","16-09-05","￥136","食費","--------",""
"支出","16-09-05","￥430","食費","朝昼",""
"支出","16-09-06","￥4,800","仕事","--------","emeditor"
"支出","16-09-06","￥430","食費","朝昼",""
"支出","16-09-06","￥100","食費","--------",""
"支出","16-09-06","￥250","食費","--------",""
"支出","16-09-07","￥1,050","仕事","交通費",""
"支出","16-09-07","￥390","食費","朝昼",""
"支出","16-09-07","￥360","食費","--------",""
"支出","16-09-08","￥420","生活","たばこ",""
"支出","16-09-08","￥515","食費","朝昼",""
"支出","16-09-09","￥100","食費","--------",""
"支出","16-09-09","￥138","食費","--------",""
"支出","16-09-09","￥205","食費","--------",""
"支出","16-09-09","￥390","食費","朝昼",""
"支出","16-09-10","￥780","食費","朝昼",""
"支出","16-09-10","￥400","食費","--------",""
"支出","16-09-12","￥570","食費","朝昼",""
"支出","16-09-12","￥100","食費","--------",""
"支出","16-09-14","￥390","食費","朝昼",""
"支出","16-09-14","￥230","食費","--------",""
"支出","16-09-15","￥2,100","生活","--------","傘"
"支出","16-09-15","￥515","食費","朝昼",""
"支出","16-09-15","￥150","食費","--------",""
"支出","16-09-17","￥1,880","生活","--------","米"
"支出","16-09-20","￥580","食費","朝昼",""
"支出","16-09-20","￥324","食費","--------",""
"支出","16-09-21","￥118","食費","--------",""
"支出","16-09-21","￥580","食費","朝昼",""
"支出","16-09-21","￥108","食費","--------",""
"支出","16-09-23","￥361","食費","朝昼",""
"支出","16-09-23","￥210","食費","--------",""
"支出","16-09-23","￥200","食費","--------",""
"支出","16-09-23","￥300","食費","--------",""
"支出","16-09-25","￥400","食費","--------",""
"支出","16-09-26","￥540","食費","朝昼",""
"支出","16-09-26","￥230","食費","--------",""
"支出","16-09-27","￥1,000","通信費","--------","sim"
"支出","16-09-27","￥1,000","趣味","--------","hulu"
"支出","16-09-27","￥400","趣味","--------","yahoo"
"支出","16-09-27","￥1,300","通信費","--------","au"
"支出","16-09-27","￥580","食費","朝昼",""
"支出","16-09-28","￥250","食費","朝昼",""
"支出","16-09-28","￥6,000","仕事","--------","ホテル"
"支出","16-09-28","￥800","食費","--------",""
"支出","16-09-28","￥130","食費","--------",""
"支出","16-09-28","￥108","食費","--------",""
"支出","16-09-29","￥108","食費","--------",""
"支出","16-09-29","￥490","食費","朝昼",""
"支出","16-09-30","￥10,000","交際費","--------","同期飲み会"
"支出","16-09-30","￥540","食費","朝昼",""
"支出","16-09-30","￥420","生活","たばこ",""
"支出","16-09-30","￥130","食費","--------",""
