"収支","日付","金額","項目名","内訳名","備考"
"支出","15-08-02","￥6,300","交際費","--------","焼き肉"
"支出","15-08-02","￥1,100","山・岩","--------","比良山岳センター"
"支出","15-08-03","￥200","食費","--------",""
"支出","15-08-03","￥450","食費","朝昼",""
"支出","15-08-03","￥430","生活","たばこ",""
"支出","15-08-04","￥2,000","仕事","交通費",""
"支出","15-08-04","￥391","食費","--------",""
"支出","15-08-05","￥100","食費","--------",""
"支出","15-08-05","￥500","食費","朝昼",""
"支出","15-08-05","￥120","食費","--------",""
"支出","15-08-06","￥1,200","生活","--------","コーヒー"
"支出","15-08-06","￥361","食費","--------",""
"支出","15-08-06","￥320","食費","朝昼",""
"支出","15-08-06","￥390","山・岩","ジム",""
"支出","15-08-07","￥100","食費","--------",""
"支出","15-08-07","￥430","食費","朝昼",""
"支出","15-08-09","￥15,000","交際費","--------","御在所ざいしょ"
"支出","15-08-10","￥100","食費","--------",""
"支出","15-08-10","￥680","本","--------","1984、鬼の子、城"
"支出","15-08-10","￥220","食費","--------",""
"支出","15-08-11","￥250","生活","--------","電球"
"支出","15-08-11","￥510","二輪","--------","廃油パック、ぱーつくりーなー"
"支出","15-08-13","￥2,200","仕事","--------","キーボード、マウスパッド"
"支出","15-08-16","￥1,400","食費","--------","ウイダーinバー"
"支出","15-08-16","￥17,300","二輪","--------","ツーリング"
"支出","15-08-17","￥100","食費","--------",""
"支出","15-08-17","￥600","食費","朝昼",""
"支出","15-08-18","￥200","食費","--------",""
"支出","15-08-18","￥23,333","仕事","交通費",""
"支出","15-08-18","￥530","食費","朝昼",""
"支出","15-08-19","￥370","食費","--------",""
"支出","15-08-19","￥500","食費","朝昼",""
"支出","15-08-19","￥390","山・岩","ジム",""
"支出","15-08-20","￥230","食費","--------",""
"支出","15-08-20","￥450","食費","朝昼",""
"支出","15-08-20","￥2,000","仕事","--------","レポートパッドホルダー"
"支出","15-08-20","￥1,518","交際費","--------","王将"
"支出","15-08-21","￥430","食費","朝昼",""
"支出","15-08-21","￥100","食費","--------",""
"支出","15-08-21","￥430","生活","たばこ",""
"支出","15-08-21","￥160","食費","--------",""
"支出","15-08-21","￥1,410","食費","晩",""
"支出","15-08-22","￥3,000","交際費","--------","家かふぇ、
ゆうしょく"
"支出","15-08-22","￥8,200","仕事","衣類","ワイシャツ"
"支出","15-08-23","￥3,000","山・岩","--------","烏帽子"
"支出","15-08-24","￥120","食費","--------",""
"支出","15-08-25","￥200","食費","--------",""
"支出","15-08-25","￥530","食費","朝昼",""
"支出","15-08-25","￥108","食費","--------",""
"支出","15-08-26","￥702","本","--------","ペン時"
"支出","15-08-26","￥100","食費","--------",""
"支出","15-08-26","￥450","食費","朝昼",""
"支出","15-08-27","￥270","山・岩","ジム",""
"支出","15-08-27","￥361","食費","--------",""
"支出","15-08-27","￥1,000","通信費","--------","sim"
"支出","15-08-27","￥1,000","趣味","--------","hulu"
"支出","15-08-27","￥400","趣味","--------","yahoo"
"支出","15-08-27","￥1,300","通信費","--------","au"
"支出","15-08-28","￥100","食費","--------",""
"支出","15-08-28","￥530","食費","朝昼",""
"支出","15-08-28","￥1,100","趣味","文具","クリップ、メモ帳"
"支出","15-08-28","￥480","山・岩","--------","アルファまい"
"支出","15-08-29","￥2,600","山・岩","--------","椿岩"
"支出","15-08-30","￥3,200","交際費","--------","星の、とうふ"
"支出","15-08-31","￥100","食費","--------",""
"支出","15-08-31","￥100","食費","--------",""
"支出","15-08-31","￥500","食費","朝昼",""
