"収支","日付","金額","項目名","内訳名","備考"
"支出","16-05-01","￥1,000","交際費","--------","こばやし亭"
"支出","16-05-05","￥3,500","交際費","--------","ブルーメの丘"
"支出","16-05-06","￥1,140","食費","--------",""
"支出","16-05-06","￥430","食費","朝昼",""
"支出","16-05-06","￥420","生活","たばこ",""
"支出","16-05-06","￥100","食費","--------",""
"支出","16-05-08","￥1,300","交際費","--------","カフェ"
"支出","16-05-08","￥468","生活","--------","お菓子"
"支出","16-05-09","￥172","食費","--------",""
"支出","16-05-09","￥270","食費","--------",""
"支出","16-05-10","￥170","食費","--------",""
"支出","16-05-10","￥500","食費","朝昼",""
"支出","16-05-11","￥141","食費","--------",""
"支出","16-05-11","￥470","食費","朝昼",""
"支出","16-05-11","￥208","食費","--------",""
"支出","16-05-12","￥172","食費","--------",""
"支出","16-05-12","￥400","食費","朝昼",""
"支出","16-05-13","￥172","食費","--------",""
"支出","16-05-13","￥330","食費","朝昼",""
"支出","16-05-16","￥430","食費","朝昼",""
"支出","16-05-16","￥260","食費","--------",""
"支出","16-05-16","￥208","食費","--------",""
"支出","16-05-16","￥2,900","趣味","PC","イヤフォン、スマホバンド"
"支出","16-05-16","￥600","生活","--------","傘カバー"
"支出","16-05-17","￥440","食費","朝昼",""
"支出","16-05-17","￥208","食費","--------",""
"支出","16-05-18","￥208","食費","--------",""
"支出","16-05-18","￥380","食費","朝昼",""
"支出","16-05-19","￥430","食費","朝昼",""
"支出","16-05-19","￥374","食費","--------",""
"支出","16-05-19","￥100","食費","--------",""
"支出","16-05-20","￥340","食費","朝昼",""
"支出","16-05-20","￥1,139","食費","--------",""
"支出","16-05-20","￥100","食費","--------",""
"支出","16-05-23","￥208","食費","--------",""
"支出","16-05-23","￥380","食費","朝昼",""
"支出","16-05-23","￥130","食費","--------",""
"支出","16-05-24","￥141","食費","--------",""
"支出","16-05-24","￥350","食費","朝昼",""
"支出","16-05-25","￥208","食費","--------",""
"支出","16-05-25","￥510","食費","朝昼",""
"支出","16-05-26","￥510","食費","朝昼",""
"支出","16-05-26","￥230","食費","--------",""
"支出","16-05-26","￥200","食費","--------",""
"支出","16-05-26","￥1,130","交通費","--------","タクシー"
"支出","16-05-27","￥1,000","通信費","--------","sim"
"支出","16-05-27","￥1,000","趣味","--------","hulu"
"支出","16-05-27","￥400","趣味","--------","yahoo"
"支出","16-05-27","￥1,300","通信費","--------","au"
"支出","16-05-27","￥391","食費","--------",""
"支出","16-05-27","￥355","食費","朝昼",""
"支出","16-05-27","￥170","食費","--------",""
"支出","16-05-27","￥3,310","二輪","道具","ヘッドライト"
"支出","16-05-30","￥440","食費","朝昼",""
"支出","16-05-30","￥440","食費","--------",""
"支出","16-05-30","￥2,861","二輪","--------","リアホイール"
"支出","16-05-31","￥330","食費","朝昼",""
"支出","16-05-31","￥460","食費","--------",""
"支出","16-06-01","￥208","食費","--------",""
"支出","16-06-01","￥430","食費","朝昼",""
"支出","16-06-01","￥300","食費","--------",""
