"収支","日付","金額","項目名","内訳名","備考"
"支出","15-10-01","￥108","食費","--------",""
"支出","15-10-01","￥540","食費","朝昼",""
"支出","15-10-02","￥108","食費","--------",""
"支出","15-10-02","￥430","食費","朝昼",""
"支出","15-10-03","￥400","食費","--------",""
"支出","15-10-03","￥2,400","交際費","--------","お好み焼き"
"支出","15-10-04","￥380","食費","--------",""
"支出","15-10-04","￥840","交際費","--------","喫茶店"
"支出","15-10-04","￥3,450","生活","--------","散髪"
"支出","15-10-04","￥540","食費","--------","うどん"
"支出","15-10-05","￥108","食費","--------",""
"支出","15-10-05","￥430","食費","朝昼",""
"支出","15-10-05","￥108","食費","--------",""
"支出","15-10-06","￥260","食費","--------",""
"支出","15-10-06","￥770","食費","朝昼",""
"支出","15-10-06","￥150","食費","--------",""
"支出","15-10-07","￥324","趣味","文具","メモ帳"
"支出","15-10-07","￥108","食費","--------",""
"支出","15-10-07","￥430","食費","朝昼",""
"支出","15-10-07","￥208","食費","--------",""
"支出","15-10-07","￥2,000","仕事","交通費",""
"支出","15-10-08","￥430","食費","朝昼",""
"支出","15-10-08","￥360","食費","--------",""
"支出","15-10-08","￥1,650","交際費","--------","ラーメン"
"支出","15-10-09","￥108","食費","--------",""
"支出","15-10-09","￥1,030","食費","--------","コーヒー"
"支出","15-10-09","￥430","食費","朝昼",""
"支出","15-10-09","￥120","食費","--------",""
"支出","15-10-09","￥120","食費","--------",""
"支出","15-10-10","￥16,200","仕事","衣類","靴"
"支出","15-10-10","￥2,500","交際費","--------","昼ご飯イタリアン"
"支出","15-10-12","￥2,300","交際費","--------","信楽"
"支出","15-10-13","￥340","食費","朝昼",""
"支出","15-10-13","￥108","食費","--------",""
"支出","15-10-14","￥361","食費","--------",""
"支出","15-10-14","￥180","食費","--------",""
"支出","15-10-14","￥345","食費","朝昼",""
"支出","15-10-14","￥1,200","仕事","--------","靴クリーム、ブラシ"
"支出","15-10-15","￥108","食費","--------",""
"支出","15-10-15","￥100","食費","--------",""
"支出","15-10-15","￥430","食費","朝昼",""
"支出","15-10-16","￥430","食費","朝昼",""
"支出","15-10-16","￥208","食費","--------",""
"支出","15-10-16","￥260","食費","--------",""
"支出","15-10-16","￥220","仕事","交通費",""
"支出","15-10-18","￥23,333","仕事","交通費",""
"支出","15-10-19","￥460","食費","晩",""
"支出","15-10-19","￥108","食費","--------",""
"支出","15-10-19","￥460","食費","朝昼",""
"支出","15-10-19","￥208","食費","--------",""
"支出","15-10-20","￥2,000","仕事","交通費",""
"支出","15-10-20","￥108","食費","--------",""
"支出","15-10-20","￥135","食費","朝昼",""
"支出","15-10-20","￥730","食費","晩",""
"支出","15-10-21","￥100","食費","--------",""
"支出","15-10-21","￥430","食費","朝昼",""
"支出","15-10-21","￥108","食費","--------",""
"支出","15-10-21","￥1,800","生活","--------","ごみ処理券、朝食"
"支出","15-10-22","￥391","食費","--------",""
"支出","15-10-22","￥500","食費","朝昼",""
"支出","15-10-23","￥480","食費","--------",""
"支出","15-10-23","￥200","食費","--------",""
"支出","15-10-23","￥400","食費","朝昼",""
"支出","15-10-23","￥120","食費","--------",""
"支出","15-10-25","￥4,000","交際費","--------","福井旅行"
"支出","15-10-26","￥2,000","交際費","--------","福井旅行"
"支出","15-10-27","￥1,000","通信費","--------","sim"
"支出","15-10-27","￥1,000","趣味","--------","hulu"
"支出","15-10-27","￥400","趣味","--------","yahoo"
"支出","15-10-27","￥1,300","通信費","--------","au"
"支出","15-10-27","￥108","食費","--------",""
"支出","15-10-27","￥345","食費","朝昼",""
"支出","15-10-27","￥258","食費","--------",""
"支出","15-10-28","￥440","仕事","交通費",""
"支出","15-10-28","￥108","食費","--------",""
"支出","15-10-28","￥430","食費","朝昼",""
"支出","15-10-29","￥440","仕事","交通費",""
"支出","15-10-29","￥500","食費","朝昼",""
"支出","15-10-29","￥130","食費","--------",""
"支出","15-10-30","￥1,566","交際費","--------","ラーメン"
"支出","15-10-30","￥1,030","食費","--------","コーヒー"
"支出","15-10-30","￥100","食費","--------",""
"支出","15-10-31","￥500","交際費","--------","姉の家にものもらう"
