"収支","日付","金額","項目名","内訳名","備考"
"支出","15-07-01","￥257","食費","--------",""
"支出","15-07-01","￥490","食費","--------",""
"支出","15-07-01","￥20,900","山・岩","ジム","ジム"
"支出","15-07-01","￥800","山・岩","道具","液体チョーク"
"支出","15-07-02","￥530","食費","朝昼",""
"支出","15-07-03","￥2,000","交際費","--------","ラーメン"
"支出","15-07-03","￥100","食費","--------",""
"支出","15-07-03","￥490","食費","朝昼",""
"支出","15-07-04","￥550","交際費","--------","タコ焼き"
"支出","15-07-04","￥510","趣味","--------","コミックスレンタル"
"支出","15-07-04","￥1,510","生活","--------","こーひーさーばー"
"支出","15-07-04","￥4,980","趣味","--------","スピーカー"
"支出","15-07-05","￥780","食費","--------","喫茶店"
"支出","15-07-05","￥1,300","生活","--------","食材"
"支出","15-07-06","￥210","食費","--------",""
"支出","15-07-06","￥500","食費","朝昼",""
"支出","15-07-06","￥120","食費","--------",""
"支出","15-07-07","￥100","食費","--------",""
"支出","15-07-07","￥430","食費","朝昼",""
"支出","15-07-07","￥275","山・岩","ジム",""
"支出","15-07-07","￥413","食費","--------",""
"支出","15-07-07","￥2,000","仕事","交通費",""
"支出","15-07-08","￥5,240","交際費","--------","野菜の店"
"支出","15-07-08","￥250","食費","--------",""
"支出","15-07-08","￥630","食費","朝昼",""
"支出","15-07-09","￥100","食費","--------",""
"支出","15-07-09","￥500","食費","朝昼",""
"支出","15-07-09","￥210","食費","--------",""
"支出","15-07-10","￥770","食費","朝昼",""
"支出","15-07-10","￥200","食費","--------",""
"支出","15-07-11","￥2,400","山・岩","--------","焼き肉カップ"
"支出","15-07-14","￥200","食費","--------",""
"支出","15-07-14","￥530","食費","朝昼",""
"支出","15-07-14","￥423","食費","晩",""
"支出","15-07-15","￥530","食費","朝昼",""
"支出","15-07-15","￥275","山・岩","ジム",""
"支出","15-07-16","￥200","食費","--------",""
"支出","15-07-16","￥450","食費","朝昼",""
"支出","15-07-16","￥110","仕事","交通費",""
"支出","15-07-17","￥400","食費","朝昼",""
"支出","15-07-17","￥170","食費","--------",""
"支出","15-07-17","￥2,000","仕事","交通費",""
"支出","15-07-17","￥220","仕事","交通費",""
"支出","15-07-18","￥23,333","仕事","交通費",""
"支出","15-07-18","￥400","食費","--------",""
"支出","15-07-20","￥1,750","山・岩","--------","砦岩"
"支出","15-07-20","￥420","生活","たばこ",""
"支出","15-07-20","￥1,000","二輪","ガソリン",""
"支出","15-07-21","￥20,800","山・岩","道具","ザック"
"支出","15-07-21","￥380","食費","--------",""
"支出","15-07-21","￥430","食費","朝昼",""
"支出","15-07-22","￥200","食費","--------",""
"支出","15-07-22","￥410","食費","朝昼",""
"支出","15-07-22","￥100","食費","--------",""
"支出","15-07-23","￥391","食費","--------",""
"支出","15-07-23","￥500","食費","朝昼",""
"支出","15-07-23","￥100","食費","--------",""
"支出","15-07-24","￥200","食費","--------",""
"支出","15-07-24","￥490","食費","朝昼",""
"支出","15-07-24","￥400","趣味","--------","オーディオケーブル延長"
"支出","15-07-25","￥4,000","山・岩","--------","錫杖"
"支出","15-07-26","￥6,000","交際費","--------","ウナギ"
"支出","15-07-27","￥1,000","通信費","--------","sim"
"支出","15-07-27","￥1,000","趣味","--------","hulu"
"支出","15-07-27","￥400","趣味","--------","yahoo"
"支出","15-07-27","￥1,300","通信費","--------","au"
"支出","15-07-27","￥210","食費","--------",""
"支出","15-07-27","￥480","食費","朝昼",""
"支出","15-07-27","￥100","食費","--------",""
"支出","15-07-28","￥500","食費","朝昼",""
"支出","15-07-28","￥100","食費","--------",""
"支出","15-07-28","￥260","食費","--------",""
"支出","15-07-29","￥200","食費","--------",""
"支出","15-07-29","￥500","食費","朝昼",""
"支出","15-07-29","￥370","山・岩","ジム",""
"支出","15-07-29","￥262","山・岩","道具","テーピング"
"支出","15-07-30","￥330","食費","--------",""
"支出","15-07-30","￥500","食費","朝昼",""
"支出","15-07-30","￥150","食費","--------",""
"支出","15-07-30","￥162","仕事","--------","コースター"
"支出","15-07-30","￥270","食費","--------",""
"支出","15-07-31","￥230","食費","--------",""
"支出","15-07-31","￥430","食費","朝昼",""
