"収支","日付","金額","項目名","内訳名","備考"
"支出","15-06-01","￥200","食費","--------",""
"支出","15-06-01","￥450","食費","朝昼",""
"支出","15-06-02","￥600","食費","朝昼",""
"支出","15-06-02","￥500","雑費","文具","ツバメノート"
"支出","15-06-02","￥346","食費","晩",""
"支出","15-06-03","￥500","食費","朝昼",""
"支出","15-06-03","￥100","食費","--------",""
"支出","15-06-03","￥1,560","交際費","--------","会社飲み会"
"支出","15-06-04","￥400","山・岩","ジム",""
"支出","15-06-04","￥500","食費","朝昼",""
"支出","15-06-05","￥3,700","仕事","--------","パソコン部品など"
"支出","15-06-05","￥490","食費","朝昼",""
"支出","15-06-05","￥220","食費","--------",""
"支出","15-06-05","￥340","山・岩","道具","アッセンダー"
"支出","15-06-06","￥1,000","生活","--------","食費"
"支出","15-06-07","￥346","山・岩","--------","湖南アルプス"
"支出","15-06-07","￥2,000","交際費","--------","ひらっきょハンバーガー"
"支出","15-06-08","￥530","食費","朝昼",""
"支出","15-06-08","￥100","食費","--------",""
"支出","15-06-09","￥2,000","山・岩","道具","かんつきカラビナ"
"支出","15-06-09","￥200","食費","--------",""
"支出","15-06-09","￥1,022","本","--------","妊娠"
"支出","15-06-09","￥1,120","生活","--------","コーヒー"
"支出","15-06-09","￥1,000","雑費","文具","芯ホルダー"
"支出","15-06-09","￥550","食費","朝昼",""
"支出","15-06-09","￥210","食費","--------",""
"支出","15-06-10","￥100","食費","--------",""
"支出","15-06-10","￥550","食費","朝昼",""
"支出","15-06-10","￥22,000","山・岩","道具","ロープ、ダック"
"支出","15-06-11","￥200","食費","--------",""
"支出","15-06-11","￥550","食費","朝昼",""
"支出","15-06-11","￥200","山・岩","ジム",""
"支出","15-06-11","￥500","食費","--------",""
"支出","15-06-11","￥346","食費","晩",""
"支出","15-06-12","￥200","食費","--------",""
"支出","15-06-12","￥940","食費","朝昼",""
"支出","15-06-13","￥1,300","山・岩","道具","テーピング"
"支出","15-06-13","￥700","山・岩","--------","湖南アルプス"
"支出","15-06-14","￥200","雑費","--------","液晶保護フィルム、hdmi変換アダプター"
"支出","15-06-14","￥700","食費","晩",""
"支出","15-06-15","￥850","趣味","PC",""
"支出","15-06-15","￥480","食費","朝昼",""
"支出","15-06-15","￥100","食費","--------",""
"支出","15-06-15","￥560","食費","晩",""
"支出","15-06-16","￥2,000","仕事","交通費",""
"支出","15-06-16","￥100","食費","--------",""
"支出","15-06-16","￥480","食費","朝昼",""
"支出","15-06-16","￥100","食費","--------",""
"支出","15-06-17","￥208","食費","--------",""
"支出","15-06-17","￥500","食費","朝昼",""
"支出","15-06-17","￥1,550","趣味","--------","かめらけーす"
"支出","15-06-18","￥270","食費","--------",""
"支出","15-06-18","￥23,333","仕事","交通費",""
"支出","15-06-18","￥330","食費","--------",""
"支出","15-06-18","￥450","食費","--------",""
"支出","15-06-18","￥1,000","交際費","--------","芯ホルダー"
"支出","15-06-19","￥100","食費","--------",""
"支出","15-06-19","￥500","食費","朝昼",""
"支出","15-06-20","￥525","山・岩","--------","千石岩"
"支出","15-06-21","￥1,560","交際費","--------","シャーレ水が浜"
"支出","15-06-21","￥4,700","交際費","--------","焼き肉きりしま"
"支出","15-06-22","￥430","食費","朝昼",""
"支出","15-06-22","￥270","食費","--------",""
"支出","15-06-23","￥530","食費","朝昼",""
"支出","15-06-23","￥230","食費","--------",""
"支出","15-06-23","￥18,000","交際費","--------","ちはる誕生日"
"支出","15-06-24","￥2,000","仕事","交通費",""
"支出","15-06-24","￥100","食費","--------",""
"支出","15-06-24","￥600","食費","朝昼",""
"支出","15-06-24","￥2,500","山・岩","ジム",""
"支出","15-06-25","￥100","食費","--------",""
"支出","15-06-25","￥720","生活","--------","Wax"
"支出","15-06-25","￥650","食費","朝昼",""
"支出","15-06-26","￥500","食費","朝昼",""
"支出","15-06-26","￥370","食費","--------",""
"支出","15-06-26","￥450","食費","--------",""
"支出","15-06-27","￥16,200","通信費","--------","wimax"
"支出","15-06-27","￥1,000","趣味","--------","hulu"
"支出","15-06-27","￥400","趣味","--------","yahoo"
"支出","15-06-27","￥1,830","生活","--------","散髪"
"支出","15-06-28","￥4,500","交際費","--------","石山寺安産祈願"
"支出","15-06-29","￥100","食費","--------",""
"支出","15-06-29","￥450","食費","朝昼",""
"支出","15-06-29","￥220","食費","--------",""
"支出","15-06-30","￥100","食費","--------",""
"支出","15-06-30","￥530","食費","朝昼",""
"支出","15-06-30","￥108","食費","--------",""
