"収支","日付","金額","項目名","内訳名","備考"
"支出","16-11-01","￥540","食費","朝昼",""
"支出","16-11-02","￥515","食費","朝昼",""
"支出","16-11-04","￥580","食費","朝昼",""
"支出","16-11-04","￥420","生活","たばこ",""
"支出","16-11-05","￥1,500","食費","その他","夕食"
"支出","16-11-05","￥700","食費","その他","ワッフル"
"支出","16-11-07","￥120","食費","--------",""
"支出","16-11-07","￥240","食費","朝昼",""
"支出","16-11-09","￥230","食費","--------",""
"支出","16-11-09","￥130","食費","朝昼",""
"支出","16-11-10","￥313","食費","--------",""
"支出","16-11-10","￥350","食費","朝昼",""
"支出","16-11-10","￥498","食費","--------",""
"支出","16-11-11","￥250","食費","朝昼",""
"支出","16-11-11","￥420","生活","たばこ",""
"支出","16-11-12","￥780","交際費","--------","コストコ"
"支出","16-11-14","￥580","食費","朝昼",""
"支出","16-11-15","￥480","食費","朝昼",""
"支出","16-11-15","￥880","食費","その他",""
"支出","16-11-16","￥30,000","交際費","--------","千遥プレゼント"
"支出","16-11-16","￥2,000","生活","--------","ふるさと納税"
"支出","16-11-16","￥100","食費","--------",""
"支出","16-11-17","￥2,100","山・岩","--------","アンダーウェア"
"支出","16-11-17","￥600","本","--------","何が正義から"
"支出","16-11-17","￥480","食費","朝昼",""
"支出","16-11-17","￥400","食費","その他",""
"支出","16-11-17","￥130","食費","--------",""
"支出","16-11-18","￥580","食費","朝昼",""
"支出","16-11-19","￥15,700","二輪","--------","任意保険"
"支出","16-11-21","￥440","生活","たばこ",""
"支出","16-11-21","￥355","食費","--------",""
"支出","16-11-22","￥460","食費","朝昼",""
"支出","16-11-23","￥3,800","交際費","--------","美夕樹誕生日"
"支出","16-11-23","￥150","食費","--------",""
"支出","16-11-24","￥436","食費","朝昼",""
"支出","16-11-24","￥140","食費","--------",""
"支出","16-11-25","￥580","食費","朝昼",""
"支出","16-11-25","￥420","生活","たばこ",""
"支出","16-11-26","￥2,000","交際費","--------","奈良"
"支出","16-11-27","￥1,000","通信費","--------","sim"
"支出","16-11-27","￥1,000","趣味","--------","hulu"
"支出","16-11-27","￥400","趣味","--------","yahoo"
"支出","16-11-27","￥1,300","通信費","--------","au"
"支出","16-11-28","￥411","食費","朝昼",""
"支出","16-11-28","￥129","食費","--------",""
"支出","16-11-29","￥390","食費","朝昼",""
"支出","16-11-30","￥390","食費","朝昼",""
"支出","16-11-30","￥100","食費","--------",""
