"収支","日付","金額","項目名","内訳名","備考"
"支出","14-05-02","￥8,000","家","--------","カーテン"
"支出","14-05-02","￥10,000","家","--------","木とかネジとか工具とか"
"支出","14-05-02","￥1,430","家","--------","交通費"
"支出","14-05-03","￥420","生活","たばこ","たばこ"
"支出","14-05-03","￥7,000","交際費","--------","水泳部"
"支出","14-05-04","￥1,500","交際費","--------","ふくちゃん"
"支出","14-05-05","￥3,200","家","--------","クッションフロア"
"支出","14-05-06","￥2,500","山・岩","--------","比叡山"
"支出","14-05-06","￥500","交際費","--------","お守り"
"支出","14-05-06","￥500","食費","--------",""
"支出","14-05-07","￥570","食費","--------",""
"支出","14-05-07","￥420","生活","たばこ","たばこ"
"支出","14-05-07","￥4,000","交際費","--------","ささやん"
"支出","14-05-08","￥250","本","--------",""
"支出","14-05-08","￥550","食費","--------",""
"支出","14-05-08","￥113","食費","--------",""
"支出","14-05-09","￥800","食費","--------",""
"支出","14-05-09","￥5,100","交際費","--------","飲み"
"支出","14-05-09","￥420","生活","たばこ","たばこ"
"支出","14-05-11","￥900","家","--------","両面てーぷ"
"支出","14-05-11","￥2,600","交際費","--------","母の日"
"支出","14-05-11","￥1,260","家","--------","交通費"
"支出","14-05-12","￥620","本","--------","記憶に関する本"
"支出","14-05-12","￥250","食費","--------",""
"支出","14-05-12","￥570","食費","--------",""
"支出","14-05-13","￥470","食費","--------",""
"支出","14-05-13","￥230","食費","--------",""
"支出","14-05-14","￥113","食費","--------",""
"支出","14-05-14","￥324","食費","--------",""
"支出","14-05-14","￥72","食費","--------",""
"支出","14-05-15","￥520","食費","--------",""
"支出","14-05-15","￥230","食費","--------",""
"支出","14-05-16","￥770","食費","--------",""
"支出","14-05-16","￥1,300","食費","--------",""
"支出","14-05-16","￥400","食費","--------",""
"支出","14-05-17","￥420","生活","たばこ",""
"支出","14-05-17","￥2,000","交際費","--------",""
"支出","14-05-17","￥1,000","山・岩","--------","金比羅"
"支出","14-05-19","￥420","食費","--------",""
"支出","14-05-19","￥231","食費","--------",""
"支出","14-05-20","￥304","食費","--------",""
"支出","14-05-20","￥420","食費","--------",""
"支出","14-05-20","￥360","食費","--------",""
"支出","14-05-21","￥1,620","山・岩","--------",""
"支出","14-05-21","￥320","食費","--------",""
"支出","14-05-22","￥467","食費","--------","パンとか"
"支出","14-05-22","￥450","食費","--------",""
"支出","14-05-22","￥128","食費","--------",""
"支出","14-05-23","￥3,300","交際費","--------",""
"支出","14-05-23","￥550","食費","--------",""
"支出","14-05-23","￥230","食費","--------",""
"支出","14-05-24","￥733","食費","--------",""
"支出","14-05-25","￥1,140","家","--------","交通費"
"支出","14-05-26","￥120","食費","--------",""
"支出","14-05-26","￥470","食費","--------",""
"支出","14-05-27","￥123","食費","--------",""
"支出","14-05-27","￥450","食費","--------",""
"支出","14-05-27","￥231","食費","--------",""
"支出","14-05-28","￥400","食費","朝昼",""
"支出","14-05-28","￥123","食費","間食",""
"支出","14-05-28","￥2,300","雑費","--------","インド雑貨"
"支出","14-05-28","￥4,560","雑費","--------","Chromeキャスト"
"支出","14-05-28","￥1,100","生活","--------","コーヒー"
"支出","14-05-28","￥3,700","家","--------","洗面Sトラップ"
"支出","14-05-29","￥231","食費","--------",""
"支出","14-05-29","￥1,620","山・岩","ジム",""
"支出","14-05-29","￥123","食費","間食",""
"支出","14-05-29","￥470","食費","朝昼",""
"支出","14-05-30","￥500","食費","--------",""
"支出","14-05-30","￥240","食費","間食",""
"支出","14-05-30","￥240","食費","間食",""
"支出","14-05-31","￥3,000","通信費","--------","wimax"
"支出","14-05-31","￥3,600","通信費","--------",""
"支出","14-05-31","￥300","食費","--------",""
"支出","14-05-31","￥410","生活","たばこ",""
