"収支","日付","金額","項目名","内訳名","備考"
"支出","16-04-01","￥388","食費","--------",""
"支出","16-04-01","￥110","食費","--------",""
"支出","16-04-01","￥490","食費","朝昼",""
"支出","16-04-01","￥1,200","山・岩","ジム",""
"支出","16-04-01","￥151","食費","--------",""
"支出","16-04-02","￥356","食費","--------",""
"支出","16-04-03","￥1,000","交際費","--------","うどん"
"支出","16-04-03","￥4,000","本","--------","アジャイル開発"
"支出","16-04-04","￥250","食費","--------",""
"支出","16-04-04","￥430","食費","朝昼",""
"支出","16-04-04","￥230","食費","--------",""
"支出","16-04-05","￥208","食費","--------",""
"支出","16-04-05","￥430","食費","朝昼",""
"支出","16-04-06","￥200","食費","--------",""
"支出","16-04-06","￥630","食費","朝昼",""
"支出","16-04-07","￥100","食費","--------",""
"支出","16-04-07","￥430","食費","朝昼",""
"支出","16-04-07","￥130","食費","--------",""
"支出","16-04-09","￥440","交際費","--------",""
"支出","16-04-09","￥130","交際費","--------",""
"支出","16-04-09","￥1,120","交際費","--------",""
"支出","16-04-10","￥6,000","交際費","--------","マリンワールド"
"支出","16-04-11","￥200","食費","--------",""
"支出","16-04-11","￥490","食費","朝昼",""
"支出","16-04-11","￥100","食費","--------",""
"支出","16-04-12","￥600","食費","--------",""
"支出","16-04-12","￥400","食費","朝昼",""
"支出","16-04-13","￥345","食費","朝昼",""
"支出","16-04-13","￥520","生活","たばこ",""
"支出","16-04-13","￥280","食費","--------",""
"支出","16-04-14","￥2,700","交際費","--------","ケーキ"
"支出","16-04-14","￥220","食費","--------",""
"支出","16-04-14","￥470","食費","朝昼",""
"支出","16-04-14","￥170","食費","--------",""
"支出","16-04-15","￥430","食費","朝昼",""
"支出","16-04-15","￥208","食費","--------",""
"支出","16-04-15","￥108","食費","--------",""
"支出","16-04-16","￥220","食費","--------",""
"支出","16-04-18","￥1,800","本","--------","ボリバー、上達の技術、会議"
"支出","16-04-18","￥208","食費","--------",""
"支出","16-04-18","￥430","食費","朝昼",""
"支出","16-04-18","￥130","食費","--------",""
"支出","16-04-19","￥308","食費","--------",""
"支出","16-04-19","￥490","食費","朝昼",""
"支出","16-04-19","￥100","食費","--------",""
"支出","16-04-20","￥300","食費","朝昼",""
"支出","16-04-20","￥170","食費","--------",""
"支出","16-04-21","￥412","食費","--------",""
"支出","16-04-21","￥470","食費","朝昼",""
"支出","16-04-21","￥180","食費","--------",""
"支出","16-04-22","￥355","食費","朝昼",""
"支出","16-04-22","￥420","食費","--------",""
"支出","16-04-22","￥180","食費","--------",""
"支出","16-04-22","￥120","食費","--------",""
"支出","16-04-23","￥1,800","交際費","--------","琵琶湖博物館"
"支出","16-04-25","￥800","趣味","PC","hdmケーブル"
"支出","16-04-25","￥1,000","本","--------","エッシェンシャルなんとか"
"支出","16-04-25","￥391","食費","--------",""
"支出","16-04-25","￥440","生活","たばこ",""
"支出","16-04-25","￥300","食費","--------",""
"支出","16-04-26","￥250","食費","--------",""
"支出","16-04-26","￥110","食費","--------",""
"支出","16-04-26","￥500","食費","朝昼",""
"支出","16-04-27","￥1,000","通信費","--------","sim"
"支出","16-04-27","￥1,000","趣味","--------","hulu"
"支出","16-04-27","￥400","趣味","--------","yahoo"
"支出","16-04-27","￥1,300","通信費","--------","au"
"支出","16-04-27","￥361","食費","--------",""
"支出","16-04-27","￥345","食費","朝昼",""
"支出","16-04-27","￥170","食費","--------",""
"支出","16-04-28","￥470","食費","朝昼",""
"支出","16-04-28","￥170","食費","--------",""
"支出","16-04-28","￥170","食費","--------",""
"支出","16-04-30","￥2,000","交際費","--------","パーチ"
