"収支","日付","金額","項目名","内訳名","備考"
"支出","16-08-01","￥340","食費","朝昼",""
"支出","16-08-01","￥500","交際費","--------","ちはるごはん"
"支出","16-08-01","￥1,648","交際費","--------","夕食王将"
"支出","16-08-02","￥278","食費","--------",""
"支出","16-08-02","￥430","食費","朝昼",""
"支出","16-08-03","￥248","食費","--------",""
"支出","16-08-03","￥340","食費","朝昼",""
"支出","16-08-03","￥220","食費","--------",""
"支出","16-08-04","￥270","食費","--------",""
"支出","16-08-04","￥140","食費","--------",""
"支出","16-08-05","￥240","食費","--------",""
"支出","16-08-05","￥430","食費","朝昼",""
"支出","16-08-06","￥850","食費","朝昼",""
"支出","16-08-06","￥120","食費","--------",""
"支出","16-08-07","￥2,000","生活","--------","食料"
"支出","16-08-07","￥1,900","生活","--------","米"
"支出","16-08-08","￥370","食費","--------",""
"支出","16-08-08","￥120","食費","--------",""
"支出","16-08-08","￥230","食費","朝昼",""
"支出","16-08-09","￥1,330","仕事","交通費","タクシー"
"支出","16-08-09","￥230","食費","--------",""
"支出","16-08-09","￥430","食費","朝昼",""
"支出","16-08-09","￥250","食費","--------",""
"支出","16-08-10","￥450","食費","--------",""
"支出","16-08-10","￥490","食費","朝昼",""
"支出","16-08-10","￥230","食費","--------",""
"支出","16-08-11","￥1,280","二輪","--------","グリスガン、グリス、ゴム板"
"支出","16-08-12","￥126","食費","--------",""
"支出","16-08-12","￥400","食費","朝昼",""
"支出","16-08-12","￥240","食費","--------",""
"支出","16-08-15","￥1,500","本","--------","ストレッチ"
"支出","16-08-15","￥1,300","生活","--------","シャワーヘッド"
"支出","16-08-15","￥700","生活","--------","モカ"
"支出","16-08-15","￥900","交際費","--------","朝マック"
"支出","16-08-15","￥512","二輪","--------","スパナ"
"支出","16-08-17","￥210","食費","--------",""
"支出","16-08-17","￥750","食費","朝昼",""
"支出","16-08-17","￥250","食費","--------",""
"支出","16-08-17","￥1,050","仕事","交通費",""
"支出","16-08-18","￥150","食費","--------",""
"支出","16-08-18","￥130","食費","--------",""
"支出","16-08-19","￥281","食費","--------",""
"支出","16-08-19","￥400","食費","朝昼",""
"支出","16-08-19","￥130","食費","--------",""
"支出","16-08-19","￥280","食費","--------",""
"支出","16-08-22","￥230","食費","--------",""
"支出","16-08-22","￥529","食費","朝昼",""
"支出","16-08-22","￥280","食費","--------",""
"支出","16-08-23","￥200","食費","--------",""
"支出","16-08-23","￥630","食費","朝昼",""
"支出","16-08-24","￥312","食費","--------",""
"支出","16-08-24","￥540","食費","朝昼",""
"支出","16-08-24","￥420","生活","たばこ",""
"支出","16-08-25","￥312","食費","--------",""
"支出","16-08-25","￥750","食費","朝昼",""
"支出","16-08-26","￥12,000","趣味","文具","ノートパッドカバー"
"支出","16-08-26","￥130","食費","--------",""
"支出","16-08-26","￥388","食費","--------",""
"支出","16-08-27","￥1,000","通信費","--------","sim"
"支出","16-08-27","￥1,000","趣味","--------","hulu"
"支出","16-08-27","￥400","趣味","--------","yahoo"
"支出","16-08-27","￥1,300","通信費","--------","au"
"支出","16-08-27","￥880","交際費","--------","ラーメン"
"支出","16-08-27","￥1,200","生活","--------","おむつ"
"支出","16-08-27","￥1,800","二輪","道具","ラスペネ"
"支出","16-08-29","￥240","食費","--------",""
"支出","16-08-29","￥130","食費","--------",""
"支出","16-08-30","￥430","食費","朝昼",""
"支出","16-08-30","￥240","食費","--------",""
"支出","16-08-31","￥430","食費","--------",""
"支出","16-08-31","￥180","食費","--------",""
"支出","16-08-31","￥130","食費","--------",""
